Sequence,length,Acc,Organism
CM068473.1:202636655-202637329|Metaviridae|Metavirus|Cladosporium_2,111,CM068473.1,Armigeres_subalbatus
CM068473.1:202896449-202898047|Metaviridae|Metavirus|Cladosporium_1,533,CM068473.1,Armigeres_subalbatus
CM068473.1:202923865-202924368|Metaviridae|Metavirus|Cladosporium_1,165,CM068473.1,Armigeres_subalbatus
CM068473.1:205016380-205018653|Metaviridae|Metavirus|Cladosporium_1,758,CM068473.1,Armigeres_subalbatus
CM068473.1:210898465-210898806|Metaviridae|Metavirus|Cladosporium_1,114,CM068473.1,Armigeres_subalbatus
CM068473.1:211276454-211276837|Metaviridae|Metavirus|Cladosporium_1,128,CM068473.1,Armigeres_subalbatus
CM068473.1:212730013-212732049|Metaviridae|Metavirus|Cladosporium_1,679,CM068473.1,Armigeres_subalbatus
CM068473.1:212854592-212856661|Metaviridae|Metavirus|Cladosporium_1,288,CM068473.1,Armigeres_subalbatus
CM068473.1:212854592-212856661|Metaviridae|Metavirus|Cladosporium_2,238,CM068473.1,Armigeres_subalbatus
CM068473.1:212854592-212856661|Metaviridae|Metavirus|Cladosporium_3,96,CM068473.1,Armigeres_subalbatus
CM068473.1:214050739-214050999|Metaviridae|Metavirus|Cladosporium_1,37,CM068473.1,Armigeres_subalbatus
CM068473.1:214050739-214050999|Metaviridae|Metavirus|Cladosporium_2,50,CM068473.1,Armigeres_subalbatus
CM068473.1:214998753-214999367|Metaviridae|Metavirus|Cladosporium_1,205,CM068473.1,Armigeres_subalbatus
CM068473.1:215306484-215308667|Metaviridae|Metavirus|Cladosporium_1,728,CM068473.1,Armigeres_subalbatus
CM068473.1:215947243-215947689|Metaviridae|Metavirus|Cladosporium_1,98,CM068473.1,Armigeres_subalbatus
CM068473.1:218986946-218989027|Metaviridae|Metavirus|Cladosporium_1,677,CM068473.1,Armigeres_subalbatus
CM068473.1:219293946-219296045|Metaviridae|Metavirus|Cladosporium_1,700,CM068473.1,Armigeres_subalbatus
CM068473.1:220963184-220965331|Metaviridae|Metavirus|Cladosporium_1,716,CM068473.1,Armigeres_subalbatus
CM068473.1:226850418-226852742|Metaviridae|Metavirus|Cladosporium_1,775,CM068473.1,Armigeres_subalbatus
CM068473.1:227340190-227341752|Metaviridae|Metavirus|Cladosporium_1,521,CM068473.1,Armigeres_subalbatus
CM068473.1:239963402-239963671|Metaviridae|Metavirus|Cladosporium_1,90,CM068473.1,Armigeres_subalbatus
CM068473.1:239963677-239963775|Metaviridae|Metavirus|Cladosporium_1,33,CM068473.1,Armigeres_subalbatus
CM068473.1:240153696-240154430|Metaviridae|Metavirus|Cladosporium_1,245,CM068473.1,Armigeres_subalbatus
CM068473.1:240174490-240176685|Metaviridae|Metavirus|Cladosporium_1,732,CM068473.1,Armigeres_subalbatus
CM068473.1:242984393-242985205|Metaviridae|Metavirus|Cladosporium_1,221,CM068473.1,Armigeres_subalbatus
CM068473.1:243155041-243155268|Metaviridae|Metavirus|Cladosporium_1,76,CM068473.1,Armigeres_subalbatus
CM068473.1:247271346-247271804|Metaviridae|Metavirus|Cladosporium_1,153,CM068473.1,Armigeres_subalbatus
CM068473.1:248718617-248720770|Metaviridae|Metavirus|Cladosporium_1,718,CM068473.1,Armigeres_subalbatus
CM068473.1:249739312-249740511|Metaviridae|Metavirus|Cladosporium_1,400,CM068473.1,Armigeres_subalbatus
CM068473.1:249784984-249785604|Metaviridae|Metavirus|Cladosporium_1,207,CM068473.1,Armigeres_subalbatus
CM068473.1:251043551-251044033|Metaviridae|Metavirus|Cladosporium_1,161,CM068473.1,Armigeres_subalbatus
CM068473.1:253854682-253856880|Metaviridae|Metavirus|Cladosporium_1,733,CM068473.1,Armigeres_subalbatus
CM068473.1:254543623-254545107|Metaviridae|Metavirus|Cladosporium_1,495,CM068473.1,Armigeres_subalbatus
CM068473.1:263268122-263269351|Metaviridae|Metavirus|Cladosporium_1,410,CM068473.1,Armigeres_subalbatus
CM068473.1:267009956-267010120|Metaviridae|Metavirus|Cladosporium_1,55,CM068473.1,Armigeres_subalbatus
CM068473.1:270579961-270582078|Metaviridae|Metavirus|Cladosporium_1,706,CM068473.1,Armigeres_subalbatus
CM068473.1:278641462-278643117|Metaviridae|Metavirus|Cladosporium_1,552,CM068473.1,Armigeres_subalbatus
CM068473.1:284648629-284650086|Metaviridae|Metavirus|Cladosporium_1,486,CM068473.1,Armigeres_subalbatus
CM068473.1:286124545-286124730|Metaviridae|Metavirus|Cladosporium_1,62,CM068473.1,Armigeres_subalbatus
CM068473.1:292393546-292394004|Metaviridae|Metavirus|Cladosporium_1,153,CM068473.1,Armigeres_subalbatus
CM068473.1:292597288-292597914|Metaviridae|Metavirus|Cladosporium_1,209,CM068473.1,Armigeres_subalbatus
CM068473.1:302613842-302614090|Metaviridae|Metavirus|Cladosporium_1,83,CM068473.1,Armigeres_subalbatus
CM068473.1:307046676-307048841|Metaviridae|Metavirus|Cladosporium_1,722,CM068473.1,Armigeres_subalbatus
CM068473.1:310677665-310679740|Metaviridae|Metavirus|Cladosporium_1,692,CM068473.1,Armigeres_subalbatus
CM068473.1:311721980-311724109|Metaviridae|Metavirus|Cladosporium_1,710,CM068473.1,Armigeres_subalbatus
CM068473.1:315850930-315851040|Metaviridae|Metavirus|Cladosporium_1,37,CM068473.1,Armigeres_subalbatus
CM068473.1:317799320-317800300|Metaviridae|Metavirus|Cladosporium_1,327,CM068473.1,Armigeres_subalbatus
CM068473.1:318407744-318409747|Metaviridae|Metavirus|Cladosporium_1,668,CM068473.1,Armigeres_subalbatus
CM068473.1:319141065-319141421|Metaviridae|Metavirus|Cladosporium_1,119,CM068473.1,Armigeres_subalbatus
CM068473.1:323429145-323431220|Metaviridae|Metavirus|Cladosporium_1,692,CM068473.1,Armigeres_subalbatus
CM068473.1:327836077-327838170|Metaviridae|Metavirus|Cladosporium_1,698,CM068473.1,Armigeres_subalbatus
CM068473.1:330236613-330238772|Metaviridae|Metavirus|Cladosporium_1,720,CM068473.1,Armigeres_subalbatus
CM068473.1:330568958-330569560|Metaviridae|Metavirus|Cladosporium_1,201,CM068473.1,Armigeres_subalbatus
CM068473.1:332110429-332110764|Metaviridae|Metavirus|Cladosporium_1,112,CM068473.1,Armigeres_subalbatus
CM068473.1:332711218-332711871|Metaviridae|Metavirus|Cladosporium_1,218,CM068473.1,Armigeres_subalbatus
CM068473.1:333049468-333049563|Metaviridae|Metavirus|Cladosporium_1,32,CM068473.1,Armigeres_subalbatus
CM068473.1:338643871-338645892|Metaviridae|Metavirus|Cladosporium_1,674,CM068473.1,Armigeres_subalbatus
CM068473.1:345190841-345191209|Metaviridae|Metavirus|Cladosporium_1,123,CM068473.1,Armigeres_subalbatus
CM068473.1:345778120-345779325|Metaviridae|Metavirus|Cladosporium_1,402,CM068473.1,Armigeres_subalbatus
CM068473.1:347915845-347916268|Metaviridae|Metavirus|Cladosporium_1,88,CM068473.1,Armigeres_subalbatus
CM068473.1:347916271-347916597|Metaviridae|Metavirus|Cladosporium_1,109,CM068473.1,Armigeres_subalbatus
CM068473.1:348635361-348637448|Metaviridae|Metavirus|Cladosporium_1,696,CM068473.1,Armigeres_subalbatus
CM068473.1:352942515-352942685|Metaviridae|Metavirus|Cladosporium_1,57,CM068473.1,Armigeres_subalbatus
CM068473.1:352942694-352943155|Metaviridae|Metavirus|Cladosporium_1,154,CM068473.1,Armigeres_subalbatus
CM068473.1:354092424-354094508|Metaviridae|Metavirus|Cladosporium_1,695,CM068473.1,Armigeres_subalbatus
CM068473.1:354239988-354240668|Metaviridae|Metavirus|Cladosporium_1,227,CM068473.1,Armigeres_subalbatus
CM068473.1:354311043-354311717|Metaviridae|Metavirus|Cladosporium_1,225,CM068473.1,Armigeres_subalbatus
CM068473.1:356437657-356437956|Metaviridae|Metavirus|Cladosporium_1,100,CM068473.1,Armigeres_subalbatus
CM068473.1:357463069-357464814|Metaviridae|Metavirus|Cladosporium_1,536,CM068473.1,Armigeres_subalbatus
CM068473.1:365532012-365532191|Metaviridae|Metavirus|Cladosporium_1,60,CM068473.1,Armigeres_subalbatus
CM068473.1:368692875-368693243|Metaviridae|Metavirus|Cladosporium_1,98,CM068473.1,Armigeres_subalbatus
CM068473.1:369800156-369800329|Metaviridae|Metavirus|Cladosporium_1,58,CM068473.1,Armigeres_subalbatus
CM068473.1:370408333-370409028|Metaviridae|Metavirus|Cladosporium_1,232,CM068473.1,Armigeres_subalbatus
CM068473.1:371841504-371841782|Metaviridae|Metavirus|Cladosporium_1,93,CM068473.1,Armigeres_subalbatus
CM068473.1:372005918-372006244|Metaviridae|Metavirus|Cladosporium_1,109,CM068473.1,Armigeres_subalbatus
CM068473.1:372006276-372006434|Metaviridae|Metavirus|Cladosporium_1,53,CM068473.1,Armigeres_subalbatus
CM068473.1:372928192-372928542|Metaviridae|Metavirus|Cladosporium_1,117,CM068473.1,Armigeres_subalbatus
CM068473.1:378690788-378692941|Metaviridae|Metavirus|Cladosporium_1,718,CM068473.1,Armigeres_subalbatus
CM068473.1:378711657-378713804|Metaviridae|Metavirus|Cladosporium_1,716,CM068473.1,Armigeres_subalbatus
CM068473.1:382170747-382171418|Metaviridae|Metavirus|Cladosporium_1,79,CM068473.1,Armigeres_subalbatus
CM068473.1:386704701-386705669|Metaviridae|Metavirus|Cladosporium_1,323,CM068473.1,Armigeres_subalbatus
CM068473.1:392160022-392160339|Metaviridae|Metavirus|Cladosporium_1,106,CM068473.1,Armigeres_subalbatus
CM068473.1:395941026-395943098|Metaviridae|Metavirus|Cladosporium_1,691,CM068473.1,Armigeres_subalbatus
CM068473.1:396778225-396780372|Metaviridae|Metavirus|Cladosporium_1,716,CM068473.1,Armigeres_subalbatus
CM068473.1:402031645-402032169|Metaviridae|Metavirus|Cladosporium_1,136,CM068473.1,Armigeres_subalbatus
CM068473.1:403647565-403647804|Metaviridae|Metavirus|Cladosporium_1,80,CM068473.1,Armigeres_subalbatus
CM068473.1:403893890-403895638|Metaviridae|Metavirus|Cladosporium_1,571,CM068473.1,Armigeres_subalbatus
CM068473.1:404267408-404267683|Metaviridae|Metavirus|Cladosporium_1,60,CM068473.1,Armigeres_subalbatus
CM068473.1:406763174-406763908|Metaviridae|Metavirus|Cladosporium_1,245,CM068473.1,Armigeres_subalbatus
CM068473.1:408056536-408056763|Metaviridae|Metavirus|Cladosporium_1,76,CM068473.1,Armigeres_subalbatus
CM068473.1:415306893-415307483|Metaviridae|Metavirus|Cladosporium_1,197,CM068473.1,Armigeres_subalbatus
CM068473.1:420494128-420494538|Metaviridae|Metavirus|Cladosporium_1,137,CM068473.1,Armigeres_subalbatus
CM068473.1:425229193-425229795|Metaviridae|Metavirus|Cladosporium_1,201,CM068473.1,Armigeres_subalbatus
CM068473.1:426543090-426545129|Metaviridae|Metavirus|Cladosporium_1,680,CM068473.1,Armigeres_subalbatus
CM068473.1:427006792-427008540|Metaviridae|Metavirus|Cladosporium_1,583,CM068473.1,Armigeres_subalbatus
CM068473.1:427574097-427576178|Metaviridae|Metavirus|Cladosporium_1,694,CM068473.1,Armigeres_subalbatus
JAMXBT020000027.1:26784-27071|Metaviridae|Metavirus|Cladosporium_1,96,JAMXBT020000027.1,Armigeres_subalbatus
JAMXBT020000030.1:12473-13138|Metaviridae|Metavirus|Cladosporium_1,222,JAMXBT020000030.1,Armigeres_subalbatus
JAMXBT020000046.1:113502-113810|Metaviridae|Metavirus|Cladosporium_1,88,JAMXBT020000046.1,Armigeres_subalbatus
JAMXBT020000046.1:759007-761043|Metaviridae|Metavirus|Cladosporium_1,679,JAMXBT020000046.1,Armigeres_subalbatus
JAMXBT020000056.1:112214-112735|Metaviridae|Metavirus|Cladosporium_1,101,JAMXBT020000056.1,Armigeres_subalbatus
JAMXBT020000056.1:116903-117577|Metaviridae|Metavirus|Cladosporium_1,62,JAMXBT020000056.1,Armigeres_subalbatus
JAMXBT020000056.1:116903-117577|Metaviridae|Metavirus|Cladosporium_2,129,JAMXBT020000056.1,Armigeres_subalbatus
JAMXBT020000092.1:313021-313488|Metaviridae|Metavirus|Cladosporium_1,156,JAMXBT020000092.1,Armigeres_subalbatus
JAMXBT020000115.1:5995-8016|Metaviridae|Metavirus|Cladosporium_1,674,JAMXBT020000115.1,Armigeres_subalbatus
JAMXBT020000158.1:112105-112236|Metaviridae|Metavirus|Cladosporium_1,44,JAMXBT020000158.1,Armigeres_subalbatus
JAMXBT020000169.1:21879-22118|Metaviridae|Metavirus|Cladosporium_1,80,JAMXBT020000169.1,Armigeres_subalbatus
JAMXBT020000201.1:195486-196196|Metaviridae|Metavirus|Cladosporium_1,237,JAMXBT020000201.1,Armigeres_subalbatus
JAMXBT020000203.1:11559-13640|Metaviridae|Metavirus|Cladosporium_1,694,JAMXBT020000203.1,Armigeres_subalbatus
JAMXBT020000292.1:1416202-1417854|Metaviridae|Metavirus|Cladosporium_1,551,JAMXBT020000292.1,Armigeres_subalbatus
JAMXBT020000295.1:124512-126572|Metaviridae|Metavirus|Cladosporium_1,687,JAMXBT020000295.1,Armigeres_subalbatus
JAMXBT020000365.1:184779-185225|Metaviridae|Metavirus|Cladosporium_1,149,JAMXBT020000365.1,Armigeres_subalbatus
JAMXBT020000411.1:5265-6056|Metaviridae|Metavirus|Cladosporium_1,264,JAMXBT020000411.1,Armigeres_subalbatus
JAMXBT020000427.1:2670-4829|Metaviridae|Metavirus|Cladosporium_1,720,JAMXBT020000427.1,Armigeres_subalbatus
JAMXBT020000460.1:15586-17256|Metaviridae|Metavirus|Cladosporium_1,557,JAMXBT020000460.1,Armigeres_subalbatus
JAMXBT020000470.1:23987-24250|Metaviridae|Metavirus|Cladosporium_1,88,JAMXBT020000470.1,Armigeres_subalbatus
JAMXBT020000471.1:8933-11221|Metaviridae|Metavirus|Cladosporium_1,763,JAMXBT020000471.1,Armigeres_subalbatus
JAMXBT020000485.1:21789-23540|Metaviridae|Metavirus|Cladosporium_1,584,JAMXBT020000485.1,Armigeres_subalbatus
JAMXBT020000514.1:196029-196397|Metaviridae|Metavirus|Cladosporium_1,123,JAMXBT020000514.1,Armigeres_subalbatus
JAMXBT020000518.1:86135-88114|Metaviridae|Metavirus|Cladosporium_1,170,JAMXBT020000518.1,Armigeres_subalbatus
JAMXBT020000518.1:86135-88114|Metaviridae|Metavirus|Cladosporium_2,473,JAMXBT020000518.1,Armigeres_subalbatus
JAMXBT020000570.1:204848-205435|Metaviridae|Metavirus|Cladosporium_1,196,JAMXBT020000570.1,Armigeres_subalbatus
JAMXBT020000574.1:8890-9207|Metaviridae|Metavirus|Cladosporium_1,106,JAMXBT020000574.1,Armigeres_subalbatus
JAMXBT020000580.1:22445-22576|Metaviridae|Metavirus|Cladosporium_1,44,JAMXBT020000580.1,Armigeres_subalbatus
JAMXBT020000583.1:12614-12988|Metaviridae|Metavirus|Cladosporium_1,125,JAMXBT020000583.1,Armigeres_subalbatus
JAMXBT020000583.1:261572-261901|Metaviridae|Metavirus|Cladosporium_1,110,JAMXBT020000583.1,Armigeres_subalbatus
JAMXBT020000595.1:13597-15675|Metaviridae|Metavirus|Cladosporium_1,693,JAMXBT020000595.1,Armigeres_subalbatus
JAMXBT020000597.1:13765-15894|Metaviridae|Metavirus|Cladosporium_1,710,JAMXBT020000597.1,Armigeres_subalbatus
JAMXBT020000609.1:55831-56226|Metaviridae|Metavirus|Cladosporium_1,132,JAMXBT020000609.1,Armigeres_subalbatus
JAMXBT020000616.1:49041-49559|Metaviridae|Metavirus|Cladosporium_1,173,JAMXBT020000616.1,Armigeres_subalbatus
JAMXBT020000638.1:16229-17107|Metaviridae|Metavirus|Cladosporium_1,293,JAMXBT020000638.1,Armigeres_subalbatus
JAMXBT020000647.1:126436-126906|Metaviridae|Metavirus|Cladosporium_1,157,JAMXBT020000647.1,Armigeres_subalbatus
JAMXBT020000647.1:127084-127299|Metaviridae|Metavirus|Cladosporium_1,72,JAMXBT020000647.1,Armigeres_subalbatus
JAMXBT020000647.1:127317-127526|Metaviridae|Metavirus|Cladosporium_1,70,JAMXBT020000647.1,Armigeres_subalbatus
JAMXBT020000847.1:1630-1740|Metaviridae|Metavirus|Cladosporium_1,27,JAMXBT020000847.1,Armigeres_subalbatus
JAMXBT020000853.1:16010-17179|Metaviridae|Metavirus|Cladosporium_1,390,JAMXBT020000853.1,Armigeres_subalbatus
JAMXBT020000860.1:281780-283957|Metaviridae|Metavirus|Cladosporium_1,726,JAMXBT020000860.1,Armigeres_subalbatus
JAMXBT020000879.1:26468-28144|Metaviridae|Metavirus|Cladosporium_1,559,JAMXBT020000879.1,Armigeres_subalbatus
JAMXBT020000908.1:11377-11598|Metaviridae|Metavirus|Cladosporium_1,74,JAMXBT020000908.1,Armigeres_subalbatus
JAMXBT020000971.1:494-862|Metaviridae|Metavirus|Cladosporium_1,123,JAMXBT020000971.1,Armigeres_subalbatus
JAMXBT020000971.1:1905-2003|Metaviridae|Metavirus|Cladosporium_1,33,JAMXBT020000971.1,Armigeres_subalbatus
JAMXBT020000979.1:80440-82575|Metaviridae|Metavirus|Cladosporium_1,712,JAMXBT020000979.1,Armigeres_subalbatus
JAMXBT020000987.1:9306-9434|Metaviridae|Metavirus|Cladosporium_1,43,JAMXBT020000987.1,Armigeres_subalbatus
JAMXBT020000989.1:110722-111090|Metaviridae|Metavirus|Cladosporium_1,42,JAMXBT020000989.1,Armigeres_subalbatus
JAMXBT020001049.1:116099-116422|Metaviridae|Metavirus|Cladosporium_1,93,JAMXBT020001049.1,Armigeres_subalbatus
JAMXBT020001075.1:3917-6073|Metaviridae|Metavirus|Cladosporium_1,619,JAMXBT020001075.1,Armigeres_subalbatus
JAMXBT020001080.1:37697-39550|Metaviridae|Metavirus|Cladosporium_1,618,JAMXBT020001080.1,Armigeres_subalbatus
JAMXBT020001097.1:22652-22744|Metaviridae|Metavirus|Cladosporium_1,31,JAMXBT020001097.1,Armigeres_subalbatus
JAMXBT020001110.1:19185-20066|Metaviridae|Metavirus|Cladosporium_1,294,JAMXBT020001110.1,Armigeres_subalbatus
JAMXBT020001122.1:2628-2996|Metaviridae|Metavirus|Cladosporium_1,123,JAMXBT020001122.1,Armigeres_subalbatus
JAMXBT020001125.1:392858-393340|Metaviridae|Metavirus|Cladosporium_1,161,JAMXBT020001125.1,Armigeres_subalbatus
JAMXBT020001139.1:36397-36813|Metaviridae|Metavirus|Cladosporium_1,139,JAMXBT020001139.1,Armigeres_subalbatus
JAMXBT020001143.1:13533-13832|Metaviridae|Metavirus|Cladosporium_1,30,JAMXBT020001143.1,Armigeres_subalbatus
JAMXBT020001179.1:43635-44012|Metaviridae|Metavirus|Cladosporium_1,29,JAMXBT020001179.1,Armigeres_subalbatus
JAMXBT020001191.1:71969-74233|Metaviridae|Metavirus|Cladosporium_1,755,JAMXBT020001191.1,Armigeres_subalbatus
JAMXBT020001216.1:22-357|Metaviridae|Metavirus|Cladosporium_1,112,JAMXBT020001216.1,Armigeres_subalbatus
JAMXBT020001243.1:33748-33849|Metaviridae|Metavirus|Cladosporium_1,34,JAMXBT020001243.1,Armigeres_subalbatus
JAMXBT020001269.1:257720-258523|Metaviridae|Metavirus|Cladosporium_1,41,JAMXBT020001269.1,Armigeres_subalbatus
JAMXBT020001273.1:46576-48735|Metaviridae|Metavirus|Cladosporium_1,720,JAMXBT020001273.1,Armigeres_subalbatus
JAMXBT020001287.1:41566-42162|Metaviridae|Metavirus|Cladosporium_1,199,JAMXBT020001287.1,Armigeres_subalbatus
JAMXBT020001287.1:73089-73361|Metaviridae|Metavirus|Cladosporium_1,74,JAMXBT020001287.1,Armigeres_subalbatus
JAMXBT020001298.1:32590-33288|Metaviridae|Metavirus|Cladosporium_1,52,JAMXBT020001298.1,Armigeres_subalbatus
JAMXBT020001298.1:32590-33288|Metaviridae|Metavirus|Cladosporium_2,160,JAMXBT020001298.1,Armigeres_subalbatus
JAMXBT020001399.1:11212-11484|Metaviridae|Metavirus|Cladosporium_1,91,JAMXBT020001399.1,Armigeres_subalbatus
JAMXBT020001436.1:382522-382731|Metaviridae|Metavirus|Cladosporium_1,70,JAMXBT020001436.1,Armigeres_subalbatus
JAMXBT020001471.1:589046-591010|Metaviridae|Metavirus|Cladosporium_1,655,JAMXBT020001471.1,Armigeres_subalbatus
JAMXBT020001519.1:355931-356260|Metaviridae|Metavirus|Cladosporium_1,35,JAMXBT020001519.1,Armigeres_subalbatus
JAMXBT020001519.1:355931-356260|Metaviridae|Metavirus|Cladosporium_2,46,JAMXBT020001519.1,Armigeres_subalbatus
JAMXBT020001529.1:3391-4002|Metaviridae|Metavirus|Cladosporium_1,204,JAMXBT020001529.1,Armigeres_subalbatus
JAMXBT020001560.1:414955-415707|Metaviridae|Metavirus|Cladosporium_1,247,JAMXBT020001560.1,Armigeres_subalbatus
JAMXBT020001567.1:75793-77418|Metaviridae|Metavirus|Cladosporium_1,153,JAMXBT020001567.1,Armigeres_subalbatus
JAMXBT020001567.1:75793-77418|Metaviridae|Metavirus|Cladosporium_2,364,JAMXBT020001567.1,Armigeres_subalbatus
JAMXBT020001567.1:84470-85948|Metaviridae|Metavirus|Cladosporium_1,493,JAMXBT020001567.1,Armigeres_subalbatus
JAMXBT020001599.1:636917-639043|Metaviridae|Metavirus|Cladosporium_1,709,JAMXBT020001599.1,Armigeres_subalbatus
JAMXBT020001683.1:63652-63765|Metaviridae|Metavirus|Cladosporium_1,38,JAMXBT020001683.1,Armigeres_subalbatus
JAMXBT020001707.1:74426-74857|Metaviridae|Metavirus|Cladosporium_1,144,JAMXBT020001707.1,Armigeres_subalbatus
JAMXBT020001717.1:17722-17961|Metaviridae|Metavirus|Cladosporium_1,80,JAMXBT020001717.1,Armigeres_subalbatus
JAMXBT020001728.1:12649-12957|Metaviridae|Metavirus|Cladosporium_1,103,JAMXBT020001728.1,Armigeres_subalbatus
JAMXBT020001729.1:33595-33975|Metaviridae|Metavirus|Cladosporium_1,127,JAMXBT020001729.1,Armigeres_subalbatus
JAMXBT020001737.1:66283-66741|Metaviridae|Metavirus|Cladosporium_1,153,JAMXBT020001737.1,Armigeres_subalbatus
JAMXBT020001776.1:25202-25647|Metaviridae|Metavirus|Cladosporium_1,95,JAMXBT020001776.1,Armigeres_subalbatus
JAMXBT020001805.1:119948-120217|Metaviridae|Metavirus|Cladosporium_1,90,JAMXBT020001805.1,Armigeres_subalbatus
JAMXBT020001839.1:1175112-1175285|Metaviridae|Metavirus|Cladosporium_1,58,JAMXBT020001839.1,Armigeres_subalbatus
JAMXBT020001839.1:1175428-1175979|Metaviridae|Metavirus|Cladosporium_1,184,JAMXBT020001839.1,Armigeres_subalbatus
JAMXBT020001885.1:7668-8123|Metaviridae|Metavirus|Cladosporium_1,152,JAMXBT020001885.1,Armigeres_subalbatus
JAMXBT020001901.1:3166-3345|Metaviridae|Metavirus|Cladosporium_1,60,JAMXBT020001901.1,Armigeres_subalbatus
JAMXBT020001921.1:72171-74327|Metaviridae|Metavirus|Cladosporium_1,719,JAMXBT020001921.1,Armigeres_subalbatus
JAMXBT020001951.1:27823-28191|Metaviridae|Metavirus|Cladosporium_1,123,JAMXBT020001951.1,Armigeres_subalbatus
JAMXBT020001959.1:93353-95254|Metaviridae|Metavirus|Cladosporium_1,634,JAMXBT020001959.1,Armigeres_subalbatus
JAMXBT020001983.1:10752-13019|Metaviridae|Metavirus|Cladosporium_1,756,JAMXBT020001983.1,Armigeres_subalbatus
JAMXBT020002019.1:141335-141790|Metaviridae|Metavirus|Cladosporium_1,98,JAMXBT020002019.1,Armigeres_subalbatus
JAMXBT020002019.1:141801-142313|Metaviridae|Metavirus|Cladosporium_1,171,JAMXBT020002019.1,Armigeres_subalbatus
JAMXBT020002035.1:7763-8176|Metaviridae|Metavirus|Cladosporium_1,138,JAMXBT020002035.1,Armigeres_subalbatus
JAMXBT020002040.1:149469-151625|Metaviridae|Metavirus|Cladosporium_1,49,JAMXBT020002040.1,Armigeres_subalbatus
JAMXBT020002040.1:149469-151625|Metaviridae|Metavirus|Cladosporium_2,630,JAMXBT020002040.1,Armigeres_subalbatus
JAMXBT020002072.1:61025-63181|Metaviridae|Metavirus|Cladosporium_1,719,JAMXBT020002072.1,Armigeres_subalbatus
CAXLNB010000063.1:10745-11515|Metaviridae|Metavirus|Cladosporium_1,257,CAXLNB010000063.1,Culex_laticinctus
CAXLNB010000088.1:6342-8096|Metaviridae|Metavirus|Cladosporium_1,585,CAXLNB010000088.1,Culex_laticinctus
OZ076405.1:42125735-42127876|Metaviridae|Metavirus|Cladosporium_1,714,OZ076405.1,Culex_laticinctus
OZ076405.1:59407682-59408071|Metaviridae|Metavirus|Cladosporium_1,130,OZ076405.1,Culex_laticinctus
OZ076405.1:92289694-92291775|Metaviridae|Metavirus|Cladosporium_1,694,OZ076405.1,Culex_laticinctus
OZ076405.1:110412981-110415095|Metaviridae|Metavirus|Cladosporium_1,705,OZ076405.1,Culex_laticinctus
OZ076405.1:121911710-121912210|Metaviridae|Metavirus|Cladosporium_1,25,OZ076405.1,Culex_laticinctus
OZ076405.1:121911710-121912210|Metaviridae|Metavirus|Cladosporium_2,131,OZ076405.1,Culex_laticinctus
OZ076405.1:128821984-128824125|Metaviridae|Metavirus|Cladosporium_1,714,OZ076405.1,Culex_laticinctus
OZ076405.1:131627874-131628479|Metaviridae|Metavirus|Cladosporium_1,202,OZ076405.1,Culex_laticinctus
OZ076405.1:139124568-139126580|Metaviridae|Metavirus|Cladosporium_1,671,OZ076405.1,Culex_laticinctus
OZ076405.1:139481775-139483934|Metaviridae|Metavirus|Cladosporium_1,720,OZ076405.1,Culex_laticinctus
OZ076405.1:145957605-145959704|Metaviridae|Metavirus|Cladosporium_1,700,OZ076405.1,Culex_laticinctus
OZ076405.1:150402602-150404755|Metaviridae|Metavirus|Cladosporium_1,718,OZ076405.1,Culex_laticinctus
OZ076405.1:151581952-151583979|Metaviridae|Metavirus|Cladosporium_1,676,OZ076405.1,Culex_laticinctus
OZ076405.1:152624578-152624922|Metaviridae|Metavirus|Cladosporium_1,115,OZ076405.1,Culex_laticinctus
OZ076405.1:162989088-162991235|Metaviridae|Metavirus|Cladosporium_1,694,OZ076405.1,Culex_laticinctus
OZ076405.1:163303328-163304965|Metaviridae|Metavirus|Cladosporium_1,546,OZ076405.1,Culex_laticinctus
OZ076405.1:169802700-169804853|Metaviridae|Metavirus|Cladosporium_1,718,OZ076405.1,Culex_laticinctus
OZ076405.1:169850066-169852147|Metaviridae|Metavirus|Cladosporium_1,694,OZ076405.1,Culex_laticinctus
OZ076405.1:170549028-170551406|Metaviridae|Metavirus|Cladosporium_1,793,OZ076405.1,Culex_laticinctus
OZ076405.1:171238203-171240344|Metaviridae|Metavirus|Cladosporium_1,714,OZ076405.1,Culex_laticinctus
OZ076405.1:171249057-171251210|Metaviridae|Metavirus|Cladosporium_1,132,OZ076405.1,Culex_laticinctus
OZ076405.1:171249057-171251210|Metaviridae|Metavirus|Cladosporium_2,329,OZ076405.1,Culex_laticinctus
OZ076405.1:171249057-171251210|Metaviridae|Metavirus|Cladosporium_3,209,OZ076405.1,Culex_laticinctus
OZ076405.1:172349905-172350021|Metaviridae|Metavirus|Cladosporium_1,39,OZ076405.1,Culex_laticinctus
OZ076405.1:172718431-172720500|Metaviridae|Metavirus|Cladosporium_1,690,OZ076405.1,Culex_laticinctus
OZ076405.1:173034101-173035648|Metaviridae|Metavirus|Cladosporium_1,164,OZ076405.1,Culex_laticinctus
OZ076405.1:173034101-173035648|Metaviridae|Metavirus|Cladosporium_2,332,OZ076405.1,Culex_laticinctus
OZ076405.1:173832828-173834981|Metaviridae|Metavirus|Cladosporium_1,187,OZ076405.1,Culex_laticinctus
OZ076405.1:173832828-173834981|Metaviridae|Metavirus|Cladosporium_2,489,OZ076405.1,Culex_laticinctus
